x y Yield
-59.127905 -37.922315 2.647000
-59.134229 -37.918552 2.648000
-59.125555 -37.920645 2.648000
-59.132207 -37.916260 2.650000
-59.131850 -37.925135 2.650000
-59.134881 -37.927285 2.651000
-59.136192 -37.919645 2.652000
-59.125722 -37.920267 2.652000
-59.138274 -37.923490 2.652000
-59.131460 -37.924662 2.654000
-59.136371 -37.919777 2.655000
-59.137729 -37.919762 2.656000
-59.132794 -37.923279 2.657000
-59.137481 -37.920670 2.657000
-59.129317 -37.919957 2.658000
-59.134524 -37.918314 2.659000
-59.136807 -37.919029 2.659000
-59.133124 -37.919905 2.659000
-59.126360 -37.920460 2.660000
-59.131520 -37.915760 2.660000
-59.131034 -37.921555 2.661000
-59.127834 -37.922267 2.661000
-59.130847 -37.924422 2.661000
-59.131017 -37.919954 2.663000
-59.130894 -37.920062 2.666000
-59.126650 -37.921137 2.666000
-59.132487 -37.915755 2.667000
-59.129170 -37.923210 2.668000
-59.136944 -37.919332 2.668000
-59.126859 -37.921577 2.669000
-59.133609 -37.917580 2.671000
-59.138636 -37.920682 2.671000
-59.137546 -37.923330 2.673000
-59.126495 -37.921129 2.673000
-59.139297 -37.921017 2.675000
-59.133065 -37.916460 2.676000
-59.139274 -37.921342 2.677000
-59.125710 -37.920759 2.678000
-59.128992 -37.923087 2.681000
-59.137529 -37.920712 2.682000
-59.133729 -37.917680 2.682000
-59.138086 -37.920054 2.683000
-59.132982 -37.925940 2.683000
-59.130477 -37.924150 2.684000
-59.137252 -37.919380 2.685000
-59.128995 -37.922905 2.688000
-59.139394 -37.921335 2.689000
-59.131162 -37.920744 2.689000
-59.134094 -37.917979 2.690000
-59.134387 -37.920257 2.690000
-59.127065 -37.921722 2.691000
-59.131742 -37.925055 2.694000
-59.128027 -37.920195 2.695000
-59.127615 -37.919277 2.697000
-59.132534 -37.915795 2.698000
-59.136447 -37.918932 2.699000
-59.131222 -37.924490 2.703000
-59.130390 -37.920224 2.705000
-59.134206 -37.917132 2.706000
-59.127204 -37.919979 2.706000
-59.133020 -37.917110 2.707000
-59.133624 -37.926395 2.707000
-59.131309 -37.915917 2.708000
-59.132342 -37.915880 2.709000
-59.139324 -37.921380 2.712000
-59.137456 -37.923587 2.713000
-59.126480 -37.921014 2.713000
-59.135124 -37.927055 2.714000
-59.133939 -37.916730 2.714000
-59.128012 -37.922387 2.715000
-59.133782 -37.916603 2.715000
-59.130989 -37.924215 2.716000
-59.132957 -37.916370 2.716000
-59.126594 -37.920885 2.718000
-59.125745 -37.920784 2.718000
-59.126762 -37.921222 2.719000
-59.139251 -37.920980 2.720000
-59.135749 -37.918610 2.722000
-59.130990 -37.916782 2.722000
-59.133314 -37.918624 2.723000
-59.135262 -37.918224 2.726000
-59.131085 -37.918295 2.726000
-59.132584 -37.915833 2.728000
-59.138799 -37.920622 2.729000
-59.132120 -37.925327 2.730000
-59.135961 -37.921360 2.734000
-59.126080 -37.921020 2.734000
-59.136896 -37.919294 2.735000
-59.138497 -37.920384 2.736000
-59.139131 -37.921859 2.737000
-59.132405 -37.915928 2.737000
-59.130710 -37.923919 2.737000
-59.128389 -37.922365 2.737000
-59.135602 -37.919295 2.739000
-59.126985 -37.921170 2.741000
-59.136752 -37.918984 2.742000
-59.132614 -37.925677 2.742000
-59.134999 -37.919069 2.743000
-59.134432 -37.926864 2.744000
-59.128572 -37.922604 2.745000
-59.137329 -37.923235 2.745000
-59.126757 -37.921505 2.746000
-59.130880 -37.924040 2.746000
-59.127849 -37.918900 2.748000
-59.127907 -37.919270 2.748000
-59.130622 -37.924065 2.750000
-59.127799 -37.922244 2.750000
-59.126825 -37.921360 2.751000
-59.133864 -37.917897 2.751000
-59.125815 -37.920834 2.753000
-59.130312 -37.918799 2.753000
-59.130010 -37.923629 2.754000
-59.132254 -37.916635 2.755000
-59.128797 -37.922949 2.755000
-59.135611 -37.926514 2.756000
-59.130985 -37.924520 2.757000
-59.133804 -37.917054 2.757000
-59.133454 -37.926272 2.759000
-59.133571 -37.919590 2.762000
-59.130564 -37.924022 2.762000
-59.126625 -37.921222 2.763000
-59.126692 -37.921269 2.764000
-59.129659 -37.919304 2.764000
-59.132892 -37.916320 2.764000
-59.140222 -37.921860 2.766000
-59.130510 -37.924175 2.767000
